Age Ma	d18O adj	d18O 5pt	tempC	tempC_5pt
0.333	3.31	3.472	3.800854	3.25806976
0.3338	3.53	3.568	3.065526	2.93988736
0.335	3.82	3.648	2.116936	2.67670656
0.336	3.77	3.8	2.278806	2.1816
0.3387	3.81	3.942	2.149254	1.72491096
0.34	4.07	4.132	1.318086	1.12267936
0.34	4.24	4.284	0.784864000000001	0.648171840000001
0.3405	4.77	4.492	-0.825593999999996	0.00932896000000039
0.341	4.53	4.406	-0.106073999999999	0.271997040000002
0.343	4.85	4.47	-1.06185	0.0763260000000034
0.344	3.64	4.42	2.702944	0.229096
0.344	4.56	4.472	-0.196895999999997	0.0702297599999997
0.3442	4.52	4.382	-0.0757439999999967	0.345669360000003
0.346	4.79	4.574	-0.884825999999998	-0.239193359999999
0.347	4.4	4.56	0.290399999999999	-0.196895999999997
0.348	4.6	4.484	-0.317599999999998	0.0336758400000017
0.349	4.49	4.468	0.015414000000002	0.0824233600000017
0.349	4.14	4.478	1.097544	0.0519477600000018
0.3503	4.71	4.516	-0.647226	-0.063604160000001
0.352	4.45	4.484	0.137349999999999	0.0336758400000017
0.353	4.79	4.53	-0.884825999999998	-0.106073999999999
0.353	4.33	4.438	0.505846	0.174018160000002
0.3536	4.37	4.492	0.382566	0.00932896000000039
0.355	4.25	4.38	0.753750000000001	0.351816000000001
0.356	4.72	4.394	-0.677023999999999	0.308813039999999
0.356	4.23	4.344	0.816006000000001	0.462647039999999
0.356	4.4	4.416	0.290399999999999	0.241347839999999
0.3569	4.12	4.292	1.160416	0.623376960000003
0.357	4.61	4.268	-0.347706	0.697815360000001
0.36	4.1	4.256	1.2234	0.735095040000002
0.36	4.11	4.32	1.191894	0.536736
0.36	4.34	4.268	0.474984000000001	0.697815360000001
0.3602	4.44	4.224	0.167903999999998	0.834704640000001
0.362	4.35	4.244	0.444150000000001	0.772415040000002
0.363	3.88	4.194	1.923616	0.928349040000001
0.364	4.21	4.184	0.878374000000002	0.959619840000001
0.365	4.39	4.244	0.321094000000001	0.772415040000002
0.365	4.09	4.206	1.254934	0.890861039999998
0.366	4.46	4.28	0.106824	0.660576
0.366	4.07	4.248	1.318086	0.75997056
0.3668	4.39	4.194	0.321094000000001	0.928349040000001
0.368	3.93	4.156	1.763286	1.04732704
0.368	4.12	4.21	1.160416	0.878374000000002
0.3685	4.27	4.138	0.691606000000003	1.10382616
0.3716	4.34	4.168	0.474984000000001	1.00971136
0.372	4.03	4.188	1.444726	0.947108160000001
0.372	4.08	4.162	1.286496	1.02851416
0.3733	4.22	4.104	0.847176000000003	1.21079424
0.375	4.14	4.148	1.097544	1.07242656
0.376	4.05	4.138	1.38135	1.10382616
0.3771	4.25	4.134	0.753750000000001	1.11639384
0.378	4.03	4.11	1.444726	1.191894
0.3799	4.2	4.098	0.909600000000002	1.22970456
0.38	4.02	4.04	1.476456	1.413024
0.382	3.99	4.018	1.571814	1.48280536
0.3832	3.96	3.982	1.667424	1.59728536
0.384	3.92	3.954	1.795296	1.68657624
0.384	4.02	3.95	1.476456	1.69935
0.3865	3.88	3.928	1.923616	1.76968576
0.388	3.97	3.84	1.635526	2.052384
0.389	3.85	3.792	2.02015	2.20749696
0.389	3.48	3.784	3.231456	2.23341184
0.3898	3.78	3.738	2.246376	2.38277016
0.392	3.84	3.676	2.052384	2.58501664
0.3931	3.74	3.662	2.376264	2.63083416
0.395	3.54	3.618	3.032424	2.77518936
0.396	3.41	3.532	3.464934	3.05890336
0.3964	3.56	3.516	2.966304	3.11191584
0.3979	3.41	3.466	3.464934	3.27804184
0.398	3.66	3.422	2.637384	3.42481176
0.3987	3.29	3.318	3.868374	3.77387736
0.4	3.19	3.284	4.207654	3.88865184
0.4009	3.04	3.114	4.721824	4.46737944
0.401	3.24	3.092	4.037664	4.54286496
0.4016	2.81	3.084	5.522454	4.57034784
0.4033	3.18	3.142	4.241736	4.37150296
0.404	3.15	3.072	4.34415	4.61160576
0.4046	3.33	3.138	3.733446	4.38518616
0.405	2.89	3.236	5.242294	4.05123744
0.406	3.67	3.318	2.604646	3.77387736
0.406	3.14	3.334	4.378344	3.71997784
0.4075	3.64	3.466	2.702944	3.27804184
0.408	3.25	3.506	4.00375	3.14508504
0.4089	3.63	3.44	2.735766	3.364704
0.41	3.34	3.474	3.699784	3.25141464
0.41	3.34	3.444	3.699784	3.35135904
0.4106	3.81	3.388	2.149254	3.53859616
0.412	3.1	3.674	4.5154	2.59155864
0.412	3.35	3.654	3.66615	2.65704024
0.4125	4.77	3.582	-0.825593999999996	2.89370136
0.413	3.24	3.91	4.037664	1.827334
0.416	3.45	4.204	3.33135	0.897106240000002
0.4162	4.74	3.856	-0.736536000000001	2.00082304
0.4179	4.82	3.982	-0.973463999999999	1.59728536
0.418	3.03	4.284	4.756326	0.648171840000001
0.419	3.87	4.228	1.955766	0.822237760000001
0.4198	4.96	3.974	-1.383776	1.62277464
0.42	4.46	4.062	0.106824	1.34337816
0.42	3.55	4.012	2.99935	1.50186016
0.423	3.47	3.846	3.264726	2.03304024
0.423	3.62	3.7	2.768616	2.5066
0.424	4.13	3.966	1.128966	1.64828184
0.425	3.73	4.212	2.408806	0.872132160000001
0.426	4.88	4.418	-1.149984	0.235221360000001
0.4271	4.7	4.55	-0.6174	-0.166649999999998
0.428	4.65	4.716	-0.46785	-0.66510816
0.428	4.79	4.674	-0.884825999999998	-0.539721360000001
0.43	4.56	4.624	-0.196895999999997	-0.389807359999999
0.431	4.67	4.73	-0.527753999999999	-0.706794000000001
0.4312	4.45	4.744	0.137349999999999	-0.748424959999997
0.432	5.18	4.784	-2.017464	-0.867068159999997
0.432	4.86	4.892	-1.091256	-1.18516704
0.4344	4.76	4.916	-0.795936	-1.25541216
